epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,1.39867,1.09388,0.7351,0.8511,0.8563,3.00e-04
2,1.13726,1.18436,0.8266,0.8528,0.8566,3.00e-04
3,1.10702,1.01277,0.8375,0.8766,0.8823,3.00e-04
4,0.74016,0.63157,0.9706,0.9975,0.9973,3.00e-04
5,0.64003,0.60934,0.9928,0.9989,0.9985,1.00e-04
6,0.62251,0.60617,0.995,0.9979,0.9967,1.00e-04
7,0.6144,0.61431,0.996,0.9964,0.9959,1.00e-04
8,0.61119,0.60686,0.9963,0.9983,0.9981,1.00e-04
9,0.60334,0.6028,0.9983,0.9999,0.9999,5.00e-05
10,0.60116,0.59833,0.9988,0.9998,0.9997,5.00e-05
11,0.60093,0.5997,0.9988,0.9998,0.9998,5.00e-05
12,0.60046,0.59754,0.9988,0.9996,0.9996,5.00e-05
13,0.59841,0.59719,0.9993,0.9998,0.9998,2.50e-05
14,0.59803,0.5974,0.9993,0.9997,0.9996,2.50e-05
15,0.59779,0.59651,0.9994,0.9998,0.9999,2.50e-05
16,0.59688,0.59845,0.9997,0.9991,0.9993,1.25e-05
17,0.59682,0.59896,0.9997,0.9995,0.9995,1.25e-05
